Report,SSRS_Visual_Status_indicator_StateName,SSRS_Visual_Status_indicator_Red_StartValue,SSRS_Visual_Status_indicator_Red_EndValue,SSRS_Visual_Status_indicator_Green_StartValue,SSRS_Visual_Status_indicator_Green_EndValue,ReportStatus,ReportNote,MinOfLastUpdated,Refresh_Date
All Brands - Current Inventory by Brand(New),Green,0,0,1,1,Green,Report is fine.,11/29/2019 2:24:41 PM,4/14/2020 6:15:39 PM

Brand,SKU,Stock,InventoryDate,IsDropShip
BAL,4002355,208,2020-04-14 16:00:00,No
BAL,4002900,207,2020-04-14 16:00:00,No
BAL,4002224,204,2020-04-14 16:00:00,No
BAL,4003121,203,2020-04-14 16:00:00,No
BAL,4002903,202,2020-04-14 16:00:00,No
BAL,4002561,202,2020-04-14 16:00:00,No
BAL,4002825,200,2020-04-14 16:00:00,No
BAL,P-FLIPTOPXS,200,2020-04-14 16:00:00,No
BAL,4002109,200,2020-04-14 16:00:00,No
BAL,4002700,199,2020-04-14 16:00:00,No
BAL,4001676,199,2020-04-14 16:00:00,No
BAL,2808887,198,2020-04-14 16:00:00,No
BAL,4001938,196,2020-04-14 16:00:00,No
BAL,4002824,196,2020-04-14 16:00:00,No
BAL,4002956,196,2020-04-14 16:00:00,No
BAL,4002839,196,2020-04-14 16:00:00,No
BAL,4003111,195,2020-04-14 16:00:00,No
BAL,5024132,195,2020-04-14 16:00:00,No
BAL,2806441,194,2020-04-14 16:00:00,No
BAL,4002734,194,2020-04-14 16:00:00,No
BAL,4003103,194,2020-04-14 16:00:00,No
BAL,P-INSRT1.25,193,2020-04-14 16:00:00,No
BAL,4002405,192,2020-04-14 16:00:00,No
BAL,4002838,192,2020-04-14 16:00:00,No
BAL,2807892,191,2020-04-14 16:00:00,No
BAL,4002429,191,2020-04-14 16:00:00,No
BAL,2808602,190,2020-04-14 16:00:00,No
BAL,4002414,190,2020-04-14 16:00:00,No
BAL,5023592,189,2020-04-14 16:00:00,No
BAL,2806443,187,2020-04-14 16:00:00,No
BAL,4001892,187,2020-04-14 16:00:00,No
BAL,4002871,187,2020-04-14 16:00:00,No
BAL,4000899,186,2020-04-14 16:00:00,No
BAL,2806292,185,2020-04-14 16:00:00,No
BAL,4003105,184,2020-04-14 16:00:00,No
BAL,4003107,183,2020-04-14 16:00:00,No
BAL,4001686,181,2020-04-14 16:00:00,No
BAL,4002497,181,2020-04-14 16:00:00,No
BAL,4002837,181,2020-04-14 16:00:00,No
BAL,4002994,181,2020-04-14 16:00:00,No
BAL,4003132,180,2020-04-14 16:00:00,No
BAL,4002506,179,2020-04-14 16:00:00,No
BAL,4002883,179,2020-04-14 16:00:00,No
BAL,4002911,179,2020-04-14 16:00:00,No
BAL,2803032,178,2020-04-14 16:00:00,No
BAL,4001687,178,2020-04-14 16:00:00,No
BAL,4002413,178,2020-04-14 16:00:00,No
BAL,4003128,178,2020-04-14 16:00:00,No
BAL,5021032,178,2020-04-14 16:00:00,No
BAL,4002735,177,2020-04-14 16:00:00,No
BAL,2807875,177,2020-04-14 16:00:00,No
BAL,2801426,177,2020-04-14 16:00:00,No
BAL,5024197,176,2020-04-14 16:00:00,No
BAL,4003129,176,2020-04-14 16:00:00,No
BAL,4001677,175,2020-04-14 16:00:00,No
BAL,4002325,174,2020-04-14 16:00:00,No
BAL,2806712,174,2020-04-14 16:00:00,No
BAL,4002318,174,2020-04-14 16:00:00,No
BAL,4003101,173,2020-04-14 16:00:00,No
BAL,4002472,172,2020-04-14 16:00:00,No
BAL,2803301,171,2020-04-14 16:00:00,No
BAL,4003130,170,2020-04-14 16:00:00,No
BAL,2808427,169,2020-04-14 16:00:00,No
BAL,P-LC6CLRGRN,169,2020-04-14 16:00:00,No
BAL,4002876,168,2020-04-14 16:00:00,No
BAL,2808153,167,2020-04-14 16:00:00,No
BAL,2804841,166,2020-04-14 16:00:00,No
BAL,4002853,166,2020-04-14 16:00:00,No
BAL,4002874,163,2020-04-14 16:00:00,No
BAL,4002367,163,2020-04-14 16:00:00,No
BAL,2801408,162,2020-04-14 16:00:00,No
BAL,4002890,162,2020-04-14 16:00:00,No
BAL,4002917,161,2020-04-14 16:00:00,No
BAL,4002011,161,2020-04-14 16:00:00,No
BAL,4002879,161,2020-04-14 16:00:00,No
BAL,4002225,160,2020-04-14 16:00:00,No
BAL,4002267,160,2020-04-14 16:00:00,No
BAL,4001896,160,2020-04-14 16:00:00,No
BAL,4002459,160,2020-04-14 16:00:00,No
BAL,2807697,160,2020-04-14 16:00:00,No
BAL,2807683,159,2020-04-14 16:00:00,No
BAL,4002363,158,2020-04-14 16:00:00,No
BAL,4002926,158,2020-04-14 16:00:00,No
BAL,2806331,158,2020-04-14 16:00:00,No
BAL,4002430,158,2020-04-14 16:00:00,No
BAL,4002320,158,2020-04-14 16:00:00,No
BAL,2802999,157,2020-04-14 16:00:00,No
BAL,P-FLIPBODYXS,157,2020-04-14 16:00:00,No
BAL,2806442,156,2020-04-14 16:00:00,No
BAL,4002236,156,2020-04-14 16:00:00,No
BAL,4002893,156,2020-04-14 16:00:00,No
BAL,2808188,155,2020-04-14 16:00:00,No
BAL,5024193,154,2020-04-14 16:00:00,No
BAL,4001669,153,2020-04-14 16:00:00,No
BAL,4001673,153,2020-04-14 16:00:00,No
BAL,4001800,151,2020-04-14 16:00:00,No
BAL,2808278,150,2020-04-14 16:00:00,No
BAL,4000152,149,2020-04-14 16:00:00,No
BAL,4002220,149,2020-04-14 16:00:00,No
BAL,4002899,149,2020-04-14 16:00:00,No
BAL,2808207,148,2020-04-14 16:00:00,No
BAL,4003113,148,2020-04-14 16:00:00,No
BAL,4001823,148,2020-04-14 16:00:00,No
BAL,4001833,147,2020-04-14 16:00:00,No
BAL,2807707,147,2020-04-14 16:00:00,No
BAL,4002314,146,2020-04-14 16:00:00,No
BAL,2800007,146,2020-04-14 16:00:00,No
BAL,4003108,145,2020-04-14 16:00:00,No
BAL,4001570,145,2020-04-14 16:00:00,No
BAL,4002857,145,2020-04-14 16:00:00,No
BAL,4000011_W,144,2020-04-14 16:00:00,No
BAL,4001600,144,2020-04-14 16:00:00,No
BAL,4000929,143,2020-04-14 16:00:00,No
BAL,4002108,143,2020-04-14 16:00:00,No
BAL,P-FLIPBODYSS,143,2020-04-14 16:00:00,No
BAL,2806347,143,2020-04-14 16:00:00,No
BAL,4001895,143,2020-04-14 16:00:00,No
BAL,4001639,142,2020-04-14 16:00:00,No
BAL,P-FLPINDHAD15,141,2020-04-14 16:00:00,No
BAL,4000417,140,2020-04-14 16:00:00,No
BAL,4001897,139,2020-04-14 16:00:00,No
BAL,4002560,139,2020-04-14 16:00:00,No
BAL,4003112,139,2020-04-14 16:00:00,No
BAL,2803300,138,2020-04-14 16:00:00,No
BAL,4002873,137,2020-04-14 16:00:00,No
BAL,4002118,136,2020-04-14 16:00:00,No
BAL,4002337,136,2020-04-14 16:00:00,No
BAL,2807986,135,2020-04-14 16:00:00,No
BAL,2801396,135,2020-04-14 16:00:00,No
BAL,4002112,134,2020-04-14 16:00:00,No
BAL,4002458,134,2020-04-14 16:00:00,No
BAL,4002945,133,2020-04-14 16:00:00,No
BAL,4000921,133,2020-04-14 16:00:00,No
BAL,5024094,132,2020-04-14 16:00:00,No
BAL,6200324,132,2020-04-14 16:00:00,No
BAL,4002867,132,2020-04-14 16:00:00,No
BAL,4003125,132,2020-04-14 16:00:00,No
BAL,2808266,131,2020-04-14 16:00:00,No
BAL,4001903,131,2020-04-14 16:00:00,Yes
BAL,4002849,131,2020-04-14 16:00:00,No
BAL,5023883,130,2020-04-14 16:00:00,No
BAL,4003124,130,2020-04-14 16:00:00,No
BAL,4001886,130,2020-04-14 16:00:00,No
BAL,4002408,128,2020-04-14 16:00:00,No
BAL,P-FLIPTOPXXS,128,2020-04-14 16:00:00,No
BAL,4002508,128,2020-04-14 16:00:00,No
BAL,4002565,128,2020-04-14 16:00:00,No
BAL,4002868,128,2020-04-14 16:00:00,No
BAL,4002898,126,2020-04-14 16:00:00,No
BAL,4003117,126,2020-04-14 16:00:00,No
BAL,2808604,126,2020-04-14 16:00:00,No
BAL,4002533,125,2020-04-14 16:00:00,No
BAL,6200323,125,2020-04-14 16:00:00,No
BAL,2807860,124,2020-04-14 16:00:00,No
BAL,4002532,124,2020-04-14 16:00:00,No
BAL,4002124,124,2020-04-14 16:00:00,No
BAL,4002428,124,2020-04-14 16:00:00,No
BAL,4002464,124,2020-04-14 16:00:00,No
BAL,P-FLPINDHAD2,123,2020-04-14 16:00:00,No
BAL,4002324,123,2020-04-14 16:00:00,No
BAL,4001074,123,2020-04-14 16:00:00,No
BAL,4000416,122,2020-04-14 16:00:00,No
BAL,2808429,122,2020-04-14 16:00:00,No
BAL,P-REGCLRBLK,122,2020-04-14 16:00:00,No
BAL,2808155,121,2020-04-14 16:00:00,No
BAL,4002247,121,2020-04-14 16:00:00,No
BAL,4003100,121,2020-04-14 16:00:00,No
BAL,2808409,120,2020-04-14 16:00:00,No
BAL,4001822,120,2020-04-14 16:00:00,No
BAL,4002123,120,2020-04-14 16:00:00,No
BAL,4001081,119,2020-04-14 16:00:00,No
